BIDEN,WHITE,LIBERAL,GENDER,DEMOCRAT,REPUBLICAN,PARTY_ID,EDUCATION,BIRTHPLACE,OWNER,INCOME,AGE
1,NO,YES,Female,Yes Democrat,Not Republican,Democrat,17+yrs,USA,DO NOT OWN,"$200,000 or more",29
0,NO,YES,Female,Yes Democrat,Not Republican,Democrat,12yrs-15yrs,USA,DO NOT OWN,"$100,000-$149,999",28
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,17+yrs,USA,OWN RESIDENCE,"$200,000 or more",59
0,NO,NO,Female,Yes Democrat,Not Republican,Democrat,12yrs-15yrs,USA,DO NOT OWN,"$40,000-$59,999",36
0,NO,NO,Male,Not Democrat,Not Republican,Other,17+yrs,USA,OWN RESIDENCE,"Less than $20,000",35
1,YES,YES,Male,Not Democrat,Not Republican,Other,12yrs,USA,DO NOT OWN,"$40,000-$59,999",70
1,YES,YES,Male,Yes Democrat,Not Republican,Democrat,17+yrs,USA,DO NOT OWN,"$150,000-$199,999",32
1,YES,YES,Male,Yes Democrat,Not Republican,Democrat,16yrs,USA,OWN RESIDENCE,"$60,000-$99,999",82
1,NO,YES,Female,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"$60,000-$99,999",38
1,YES,YES,Male,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"$60,000-$99,999",26
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,DO NOT OWN,"$40,000-$59,999",33
1,YES,YES,Male,Yes Democrat,Not Republican,Democrat,17+yrs,USA,DO NOT OWN,"$100,000-$149,999",35
1,YES,YES,Male,Yes Democrat,Not Republican,Democrat,17+yrs,USA,DO NOT OWN,"$200,000 or more",51
1,NO,NO,Male,Yes Democrat,Not Republican,Democrat,12yrs-15yrs,USA,DO NOT OWN,"$100,000-$149,999",50
1,NO,YES,Female,Yes Democrat,Not Republican,Democrat,17+yrs,USA,DO NOT OWN,"$100,000-$149,999",29
1,YES,NO,Male,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"$200,000 or more",37
1,NO,YES,Male,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"$150,000-$199,999",45
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,OWN RESIDENCE,"$150,000-$199,999",69
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,16yrs,USA,DO NOT OWN,"$60,000-$99,999",66
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,17+yrs,USA,DO NOT OWN,"$100,000-$149,999",44
0,NO,NO,Female,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"$60,000-$99,999",44
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,16yrs,USA,OWN RESIDENCE,"$200,000 or more",42
1,NO,NO,Female,Not Democrat,Not Republican,Other,17+yrs,USA,DO NOT OWN,"$100,000-$149,999",24
0,NO,NO,Male,Not Democrat,Not Republican,Other,16yrs,USA,DO NOT OWN,"$100,000-$149,999",26
1,YES,YES,Female,Not Democrat,Not Republican,Other,16yrs,USA,DO NOT OWN,"$100,000-$149,999",35
1,NO,NO,Female,Not Democrat,Not Republican,Other,12yrs,USA,DO NOT OWN,"Less than $20,000",24
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,17+yrs,USA,OWN RESIDENCE,"$60,000-$99,999",71
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,16yrs,USA,OWN RESIDENCE,"$100,000-$149,999",72
1,YES,NO,Male,Not Democrat,Not Republican,Other,17+yrs,USA,DO NOT OWN,"$100,000-$149,999",32
0,NO,NO,Male,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"$20,000-$39,999",32
0,YES,NO,Male,Not Democrat,Not Republican,Other,16yrs,USA,DO NOT OWN,"$20,000-$39,999",25
1,NO,YES,Male,Yes Democrat,Not Republican,Democrat,16yrs,NOT USA,DO NOT OWN,"$100,000-$149,999",40
0,NO,NO,Male,Not Democrat,Not Republican,Other,17+yrs,NOT USA,OWN RESIDENCE,"$150,000-$199,999",28
0,NO,NO,Female,Not Democrat,Not Republican,Other,17+yrs,USA,DO NOT OWN,"$40,000-$59,999",54
0,NO,NO,Female,Not Democrat,Yes Republican,Republican,17+yrs,USA,OWN RESIDENCE,"$200,000 or more",35
1,YES,YES,Male,Not Democrat,Not Republican,Other,16yrs,USA,DO NOT OWN,"$60,000-$99,999",31
1,NO,YES,Male,Yes Democrat,Not Republican,Democrat,12yrs,USA,DO NOT OWN,"Less than $20,000",21
0,NO,NO,Female,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,OWN RESIDENCE,"$60,000-$99,999",30
1,YES,YES,Male,Yes Democrat,Not Republican,Democrat,17+yrs,USA,DO NOT OWN,"$20,000-$39,999",23
1,NO,YES,Female,Yes Democrat,Not Republican,Democrat,17+yrs,USA,DO NOT OWN,"$200,000 or more",49
0,YES,NO,Female,Not Democrat,Yes Republican,Republican,12yrs,USA,OWN RESIDENCE,"$100,000-$149,999",66
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,16yrs,USA,OWN RESIDENCE,"$100,000-$149,999",68
0,YES,NO,Male,Not Democrat,Not Republican,Other,16yrs,USA,OWN RESIDENCE,"$150,000-$199,999",33
1,NO,YES,Male,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"Less than $20,000",29
0,YES,NO,Male,Not Democrat,Not Republican,Other,12yrs-15yrs,USA,OWN RESIDENCE,"$60,000-$99,999",66
0,NO,NO,Male,Yes Democrat,Not Republican,Democrat,12yrs-15yrs,USA,OWN RESIDENCE,"$60,000-$99,999",37
1,YES,NO,Male,Not Democrat,Not Republican,Other,12yrs,USA,OWN RESIDENCE,"$60,000-$99,999",67
1,YES,NO,Female,Not Democrat,Not Republican,Other,12yrs-15yrs,USA,OWN RESIDENCE,"$150,000-$199,999",65
0,YES,NO,Male,Not Democrat,Not Republican,Other,16yrs,USA,OWN RESIDENCE,"$200,000 or more",28
1,YES,YES,Female,Not Democrat,Not Republican,Other,16yrs,USA,DO NOT OWN,"$100,000-$149,999",25
0,NO,NO,Female,Not Democrat,Yes Republican,Republican,17+yrs,USA,OWN RESIDENCE,"$200,000 or more",38
0,YES,NO,Female,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,OWN RESIDENCE,"$20,000-$39,999",80
1,YES,NO,Male,Not Democrat,Yes Republican,Republican,16yrs,USA,DO NOT OWN,"$60,000-$99,999",41
1,YES,YES,Male,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"$150,000-$199,999",35
0,YES,YES,Female,Yes Democrat,Not Republican,Democrat,17+yrs,USA,OWN RESIDENCE,"$200,000 or more",39
1,NO,NO,Female,Not Democrat,Not Republican,Other,12yrs,USA,DO NOT OWN,"$20,000-$39,999",29
0,YES,NO,Male,Yes Democrat,Not Republican,Democrat,16yrs,USA,OWN RESIDENCE,"$60,000-$99,999",31
1,YES,YES,Male,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"$60,000-$99,999",37
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,17+yrs,USA,DO NOT OWN,"$60,000-$99,999",68
1,YES,NO,Male,Yes Democrat,Not Republican,Democrat,16yrs,USA,OWN RESIDENCE,"$60,000-$99,999",77
1,YES,YES,Male,Not Democrat,Not Republican,Other,16yrs,USA,OWN RESIDENCE,"$200,000 or more",49
1,YES,YES,Male,Not Democrat,Not Republican,Other,16yrs,USA,DO NOT OWN,"$200,000 or more",39
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,16yrs,USA,DO NOT OWN,"$60,000-$99,999",43
1,NO,YES,Female,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"$20,000-$39,999",23
0,NO,NO,Male,Not Democrat,Yes Republican,Republican,16yrs,NOT USA,OWN RESIDENCE,"$150,000-$199,999",42
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"$60,000-$99,999",23
1,YES,YES,Male,Yes Democrat,Not Republican,Democrat,16yrs,USA,OWN RESIDENCE,"$100,000-$149,999",36
1,NO,YES,Male,Yes Democrat,Not Republican,Democrat,12yrs-15yrs,USA,DO NOT OWN,"$100,000-$149,999",39
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,17+yrs,USA,OWN RESIDENCE,"$150,000-$199,999",77
1,YES,NO,Male,Not Democrat,Not Republican,Other,16yrs,USA,OWN RESIDENCE,"$200,000 or more",63
0,YES,NO,Female,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,OWN RESIDENCE,"$60,000-$99,999",76
