CHK_ACCT,DURATION,HISTORY,NEW_CAR,USED_CAR,FURNITURE,RADIO/TV,EDUCATION,RETRAINING,AMOUNT,SAV_ACCT,EMPLOYMENT,INSTALL_RATE,MALE_DIV,MALE_SINGLE,MALE_MAR_or_WID,CO-APPLICANT,GUARANTOR,PRESENT_RESIDENT,REAL_ESTATE,PROP_UNKN_NONE,AGE,OTHER_INSTALL,RENT,OWN_RES,NUM_CREDITS,JOB,NUM_DEPENDENTS,TELEPHONE,FOREIGN,RESPONSE
0,6,4,,,,1,,,1169,4,4,4,0,1,0,0,0,4,1,0,67,0,0,1,2,2,1,1,0,1
1,48,2,,,,1,,,5951,0,2,2,0,0,0,0,0,2,1,0,22,0,0,1,1,2,1,0,0,0
3,12,4,,,,,1,,2096,0,3,2,0,1,0,0,0,3,1,0,49,0,0,1,1,1,2,0,0,1
0,42,2,,,1,,,,7882,0,3,2,0,1,0,0,1,4,0,0,45,0,0,0,1,2,2,0,0,1
0,24,3,1,,,,,,4870,0,2,3,0,1,0,0,0,4,0,1,53,0,0,0,2,2,2,0,0,0
3,36,2,,,,,1,,9000,4,2,2,0,1,0,0,0,4,0,1,35,0,0,0,1,1,2,1,0,1
3,24,2,,,1,,,,2835,2,4,3,0,1,0,0,0,4,0,0,,0,0,1,1,2,1,0,0,1
1,36,2,,1,,,,,6948,0,2,2,0,1,0,0,0,2,0,0,35,0,1,0,1,3,1,1,0,1
3,12,2,,,,1,,,3059,3,3,2,1,0,0,0,0,4,1,0,61,0,0,1,1,1,1,0,0,1
1,30,4,1,,,,,,5234,0,0,4,0,0,1,0,0,2,0,0,28,0,0,1,2,3,1,0,0,0
1,12,2,1,,,,,,1295,0,1,3,0,0,0,0,0,1,0,0,25,0,1,0,1,2,1,0,0,0
0,48,2,,,,,,1,4308,0,1,3,0,0,0,0,0,4,0,0,24,0,1,0,1,2,1,0,0,0
1,12,2,,,,1,,,1567,0,2,1,0,0,0,0,0,1,0,0,22,0,0,1,1,2,1,1,0,1
0,24,4,1,,,,,,1199,0,4,4,0,1,0,0,0,4,0,0,60,0,0,1,2,1,1,0,0,0
0,15,2,1,,,,,,1400,0,2,2,0,0,0,0,0,4,0,0,28,0,1,0,1,2,1,0,0,1
0,24,2,,,,1,,,1282,1,2,4,0,0,0,0,0,2,0,0,,0,0,1,1,1,1,0,0,0
3,24,4,,,,1,,,2424,4,4,4,0,1,0,0,0,4,0,0,53,0,0,1,2,2,1,0,0,1
0,30,0,,,,,,1,8070,4,1,2,0,1,0,0,0,3,0,0,25,1,0,1,3,2,1,0,0,1
1,24,2,,1,,,,,12579,0,4,4,0,0,0,0,0,2,0,1,44,0,0,0,1,3,1,1,0,0
3,24,2,,,,1,,,3430,2,4,3,0,1,0,0,0,2,0,0,31,0,0,1,1,2,2,1,0,1
3,9,4,1,,,,,,2134,0,2,4,0,1,0,0,0,4,0,0,48,0,0,1,3,2,1,1,0,1
0,6,2,,,,1,,,2651,2,2,2,0,1,0,0,0,3,1,0,44,0,1,0,1,2,2,0,0,1
0,10,4,1,,,,,,2241,0,1,1,0,1,0,0,0,3,1,0,48,0,1,0,2,1,2,0,1,1
1,12,4,,1,,,,,1804,1,1,3,0,1,0,0,0,4,0,0,,0,0,1,1,2,1,0,0,1
3,10,4,,,1,,,,2069,4,2,2,0,0,1,0,0,1,0,0,26,0,0,1,2,2,1,0,1,1
0,6,2,,,1,,,,1374,0,2,1,0,1,0,0,0,2,1,0,36,1,0,1,1,1,1,1,0,1
3,6,0,,,,1,,,426,0,4,4,0,0,1,0,0,4,0,0,39,0,0,1,1,1,1,0,0,1
2,12,1,,,,1,,,409,3,2,3,0,0,0,0,0,3,1,0,42,0,1,0,2,2,1,0,0,1
1,7,2,,,,1,,,2415,0,2,3,0,1,0,0,1,2,1,0,34,0,0,1,1,2,1,0,0,1
0,60,3,,,,,,1,6836,0,4,3,0,1,0,0,0,4,0,1,63,0,0,1,2,2,1,1,0,0
1,18,2,,,,,,1,1913,3,1,3,0,0,1,0,0,3,1,0,36,1,0,1,1,2,1,1,0,1
0,24,2,,,1,,,,4020,0,2,2,0,1,0,0,0,2,0,0,27,1,0,1,1,2,1,0,0,1
1,18,2,1,,,,,,5866,1,2,2,0,1,0,0,0,2,0,0,30,0,0,1,2,2,1,1,0,1
3,12,4,,,,,,1,1264,4,4,4,0,1,0,0,0,4,0,1,57,0,1,0,1,1,1,0,0,1
2,12,2,,,1,,,,1474,0,1,4,0,0,0,0,0,1,0,0,,1,0,1,1,3,1,1,0,1
1,45,4,,,,1,,,4746,0,1,4,0,1,0,0,0,2,0,0,25,0,0,1,2,1,1,0,0,0
3,48,4,,,,,1,,6110,0,2,1,0,1,0,0,0,3,0,1,31,1,0,0,1,2,1,1,0,1
2,18,2,,,,1,,,2100,0,2,4,0,1,0,1,0,2,1,0,37,1,0,1,1,2,1,0,0,0
2,10,2,,,,,,,1225,0,2,2,0,1,0,0,0,2,0,0,37,0,0,1,1,2,1,1,0,1
1,9,2,,,,1,,,458,0,2,4,0,1,0,0,0,3,1,0,24,0,0,1,1,2,1,0,0,1
3,30,2,,,,1,,,2333,2,4,4,0,1,0,0,0,2,0,0,30,1,0,1,1,3,1,0,0,1
1,12,2,,,,1,,,1158,2,2,3,1,0,0,0,0,1,0,0,26,0,0,1,1,2,1,1,0,1
1,18,3,,,,,,,6204,0,2,2,0,1,0,0,0,4,1,0,44,0,0,1,1,1,2,1,0,1
0,30,4,,1,,,,,6187,1,3,1,0,0,1,0,0,4,0,0,24,0,1,0,2,2,1,0,0,1
0,48,4,,1,,,,,6143,0,4,4,0,0,0,0,0,4,0,1,,1,0,0,2,1,1,0,0,0
3,11,4,1,,,,,,1393,0,1,4,0,0,0,0,0,4,0,0,35,0,0,1,2,3,1,0,0,1
3,36,2,,,,1,,,2299,2,4,4,0,1,0,0,0,4,0,0,39,0,0,1,1,2,1,0,0,1
0,6,2,,1,,,,,1350,2,0,1,0,0,0,0,0,2,0,0,23,0,1,0,1,0,1,1,0,1
3,11,4,1,,,,,,7228,0,2,1,0,1,0,0,0,4,0,0,39,0,0,1,2,1,1,0,0,1
3,12,2,,,,1,,,2073,1,2,4,0,0,0,1,0,2,1,0,28,0,0,1,1,2,1,0,0,1
1,24,3,,,1,,,,2333,4,1,4,0,1,0,0,0,2,0,0,29,1,0,1,1,1,1,0,0,1
1,27,3,,1,,,,,5965,0,4,1,0,1,0,0,0,2,0,0,30,0,0,1,2,3,1,1,0,1
3,12,2,,,,1,,,1262,0,2,3,0,1,0,0,0,2,0,0,25,0,0,1,1,2,1,0,0,1
3,18,2,,1,,,,,3378,4,2,2,0,1,0,0,0,1,0,0,31,0,0,1,1,2,1,1,0,1
1,36,3,1,,,,,,2225,0,4,4,0,1,0,0,0,4,0,1,57,1,0,0,2,2,1,1,0,0
3,6,1,1,,,,,,782,4,2,1,0,1,0,0,1,2,1,0,26,1,0,1,1,1,2,0,0,1
1,12,2,,,,1,,,6468,4,0,2,0,1,0,0,0,1,0,1,52,0,0,1,1,3,1,1,0,0
3,36,4,,,,1,,,9566,0,2,2,0,0,0,0,0,2,0,0,31,1,0,1,2,2,1,0,0,1
2,18,2,1,,,,,,1961,0,4,3,0,0,0,0,0,2,0,0,23,0,0,1,1,3,1,0,0,1
0,36,4,,,1,,,,6229,0,1,4,0,0,0,1,0,4,0,1,23,0,1,0,2,1,1,1,0,0
1,9,2,,,,,,1,1391,0,2,2,0,0,1,0,0,1,1,0,27,1,0,1,1,2,1,1,0,1
1,15,4,,,,1,,,1537,4,4,4,0,1,0,0,1,4,1,0,50,0,0,1,2,2,1,1,0,1
1,36,0,,,,,,1,1953,0,4,4,0,1,0,0,0,4,0,1,61,0,0,0,1,3,1,1,0,0
1,48,0,,,,,,1,14421,0,2,2,0,1,0,0,0,2,0,0,25,0,0,1,1,2,1,1,0,0
3,24,2,,,,1,,,3181,0,1,4,0,0,0,0,0,4,0,0,26,0,0,1,1,2,1,1,0,1
3,27,2,,,,,,,5190,4,4,4,0,1,0,0,0,4,0,0,48,0,0,1,4,2,2,1,0,1
3,12,2,,,,1,,,2171,0,1,2,0,0,0,0,0,2,0,0,29,1,0,1,1,2,1,0,0,1
1,12,2,1,,,,,,1007,3,2,4,0,0,1,0,0,1,1,0,22,0,0,1,1,2,1,0,0,1
3,36,2,,,,,1,,1819,0,2,4,0,1,0,0,0,4,0,1,37,1,0,0,1,2,1,1,0,0
3,36,2,,,,1,,,2394,4,2,4,0,0,0,0,0,4,0,0,25,0,0,1,1,2,1,0,0,1
3,36,2,,1,,,,,8133,0,2,1,0,0,0,0,0,2,0,0,30,1,0,1,1,2,1,0,0,1
