unitid,OPEID,institution_name,state_cd,EFMaleCount,EFFemaleCount,EFTotalCount,STUDENTAID_MEN,STUDENTAID_WOMEN,STUDENTAID_TOTAL,STUAID_MEN_RATIO,STUAID_WOMEN_RATIO,RECRUITEXP_MEN,RECRUITEXP_WOMEN,RECRUITEXP_TOTAL,HDCOACH_SALARY_MEN,HDCOACH_SALARY_WOMEN,IL_PARTIC_MEN,IL_PARTIC_WOMEN,IL_EXPENSE_MENALL,IL_EXPENSE_WOMENALL,GRND_TOTAL_REVENUE
207500,00318400,University of Oklahoma-Norman Campus,OK,8894,9326,18220,9212056,7162743,16374799,56,44,3285304,718317,4003621,1776286,395859,361,348,14821206,23516075,186948657
228246,00361300,Southern Methodist University,TX,3400,3327,6727,12452401,11473814,23926215,52,48,701597,204985,906582,868556,164569,252,262,6977107,18530965,79414946
166629,00222100,University of Massachusetts-Amherst,MA,11059,11407,22466,6716647,6128284,12844931,52,48,592751,243523,836274,341880,127344,402,373,7050417,9192394,43882480
134130,00153500,University of Florida,FL,13214,17809,31023,5728001,5579391,11307392,51,49,2218636,748260,2966896,1743087,347140,382,321,11883189,20929396,177969655
176017,00244000,University of Mississippi,MS,6283,8687,14970,6712986,4497569,11210555,60,40,1914164,592238,2506402,2275127,357240,341,206,14264460,15495521,123796191
102094,00105700,University of South Alabama,AL,2785,4604,7389,4502426,2940383,7442809,60,40,326516,80574,407090,241306,91737,301,189,3107150,4969241,24652380
139931,00157200,Georgia Southern University,GA,8156,11052,19208,3696368,2913934,6610302,56,44,259024,134815,393839,211211,77601,234,198,2505954,4535028,29737578
157289,00199900,University of Louisville,KY,5128,6252,11380,8190105,6581219,14771324,55,45,1560383,568274,2128657,1044371,300321,342,366,11095437,15140593,139978924
204857,00310000,Ohio University-Main Campus,OH,6284,7984,14268,5324050,3605687,8929737,60,40,406538,108540,515078,252088,108624,242,267,2263857,5594625,27605053
155399,00192800,Kansas State University,KS,7078,6828,13906,5936909,4133311,10070220,59,41,1371130,420461,1791591,1594239,226893,313,252,5257314,8693052,100822204
106458,00109000,Arkansas State University,AR,2173,3182,5355,3167190,1882033,5049223,63,37,315165,129719,444884,107602,61199,292,177,1808489,3363168,21009474
201441,00301800,Bowling Green State University-Main Campus,OH,5062,6781,11843,4160683,2825112,6985795,60,40,445692,111427,557119,208719,94414,238,257,3690472,4963514,25573968
110662,00131500,University of California-Los Angeles,CA,12595,18890,31485,7991802,8217846,16209648,49,51,1253845,498326,1752171,1272005,214519,397,487,11757737,18993079,131106913
228459,00361500,Texas State University,TX,10421,16106,26527,4258886,2500463,6759349,63,37,590531,167290,757821,313241,103396,263,168,3051189,5006742,33707371
197869,00290600,Appalachian State University,NC,7505,9876,17381,3505607,2234808,5740415,61,39,429692,130316,560008,250160,93939,273,287,2518454,4237487,32271589
198419,00292000,Duke University,NC,3283,3506,6789,13082047,12364348,25446395,51,49,1986933,630519,2617452,1060139,212563,494,375,14440293,21986231,150517681
172699,00233000,Western Michigan University,MI,6057,6070,12127,4725185,2596563,7321748,65,35,293509,59491,353000,362668,129503,239,228,4068468,4771082,34422529
233921,00375400,Virginia Polytechnic Institute and State University,VA,16470,12416,28886,7962058,5166222,13128280,61,39,1483338,355545,1838883,943777,269852,414,317,10915998,11401910,109216783
230764,00367500,University of Utah,UT,10490,9804,20294,7064097,5181129,12245226,58,42,1506006,481168,1987174,900178,167154,298,286,7926503,12630640,97107481
110556,00114700,California State University-Fresno,CA,7226,11289,18515,3100385,3790596,6890981,45,55,486175,198286,684461,504279,122354,194,297,2746663,10133734,53448649
236948,00379800,University of Washington-Seattle Campus,WA,12800,16715,29515,8391877,7350855,15742732,53,47,1897676,593302,2490978,976741,325796,381,328,14854928,19571741,145184864
150136,00178600,Ball State University,IN,5051,7986,13037,4209632,3780278,7989910,53,47,199514,129894,329408,240980,105754,243,263,3299465,6203270,28526892
133951,00963500,Florida International University,FL,10747,14707,25454,3384615,3227247,6611862,51,49,247207,113423,360630,345859,83110,242,280,2294461,4782317,39299776
236939,00380000,Washington State University,WA,9813,11396,21209,6662543,5562555,12225098,54,46,987170,436118,1423288,714000,152919,331,282,5273815,10369867,84195555
145637,00177500,University of Illinois Urbana-Champaign,IL,17727,15386,33113,7249968,5160318,12410286,58,42,1868897,507572,2376469,1291957,251712,354,296,8902687,12231547,115544276
155317,00194800,University of Kansas,KS,7786,8749,16535,7310663,6635731,13946394,52,48,1401839,479959,1881798,1913518,223852,315,325,5993608,14258045,124842549
225511,00365200,University of Houston,TX,12996,14384,27380,5126160,3778904,8905064,58,42,504845,234049,738894,1646470,134366,352,271,4998097,8133663,78806406
199139,00297500,University of North Carolina at Charlotte,NC,10745,9810,20555,4331990,2254467,6586457,66,34,577839,148463,726302,307487,116004,395,232,4306636,4307846,35501675
206084,00313100,University of Toledo,OH,5185,5444,10629,4937584,3767288,8704872,57,43,388875,197722,586597,321293,105324,222,282,2231177,5802008,33812616
216339,00337100,Temple University,PA,10295,13394,23689,8006536,7027728,15034264,53,47,759794,253983,1013777,506387,130880,270,303,3862495,10950662,67128393
122409,00115100,San Diego State University,CA,11707,15904,27611,4838225,4264701,9102926,53,47,519229,199307,718536,580237,206701,237,317,3793585,9333754,67245917
100858,00100900,Auburn University,AL,11290,11384,22674,9084209,7871271,16955480,54,46,1969628,736996,2706624,1696707,309118,312,305,13245914,22233971,174568438
207388,00317000,Oklahoma State University-Main Campus,OK,8587,9142,17729,4341368,2818184,7159552,61,39,893094,379881,1272975,1417212,285471,302,284,10011175,10244377,101526357
217882,00342500,Clemson University,SC,10051,10783,20834,7718603,5807829,13526432,57,43,3646871,564985,4211856,1503156,246343,335,263,10885827,13906259,140436882
110635,00131200,University of California-Berkeley,CA,13696,16501,30197,7185513,5943224,13128737,55,45,1445637,604050,2049687,609931,167204,574,498,12017422,16653420,118212181
176080,00242300,Mississippi State University,MS,8195,8566,16761,5959122,4379294,10338416,58,42,1128541,439049,1567590,1795547,231344,269,200,8999526,10048049,109091372
122755,00115500,San Jose State University,CA,11533,11409,22942,4360724,3829624,8190348,53,47,475728,206008,681736,179528,105129,309,243,3321756,8013431,37717297
141574,00161000,University of Hawaii at Manoa,HI,4312,6828,11140,5111892,4633593,9745485,52,48,450445,219363,669808,221379,95226,231,273,4822351,8865869,45028210
126818,00135000,Colorado State University-Fort Collins,CO,9002,10966,19968,5075631,4316295,9391926,54,46,808942,221873,1030815,579965,120896,268,244,1933562,8072179,59275605
