Year,Month,DOMESTIC,INTERNATIONAL,TOTAL,Date
2010,1,45501620,12393439,57895059,2010-01-01
2010,2,42440614,10694165,53134779,2010-02-01
2010,3,54424077,13279320,67703397,2010-03-01
2010,4,52498074,12398700,64896774,2010-04-01
2010,5,53842422,13380664,67223086,2010-05-01
2010,6,56689853,14406776,71096629,2010-06-01
2010,7,59142493,16026852,75169345,2010-07-01
2010,8,57370748,15317926,72688674,2010-08-01
2010,9,50304708,12599149,62903857,2010-09-01
2010,10,54826050,12874707,67700757,2010-10-01
2010,11,51420519,11651314,63071833,2010-11-01
2010,12,51076415,12917451,63993866,2010-12-01
2011,1,46305000,12668763,58973763,2011-01-01
2011,2,43657818,10944610,54602428,2011-02-01
2011,3,55649428,13473705,69123133,2011-03-01
2011,4,52858479,13537152,66395631,2011-04-01
2011,5,55982234,13935132,69917366,2011-05-01
2011,6,57778699,14814672,72593371,2011-06-01
2011,7,60310568,16623674,76934242,2011-07-01
2011,8,57403835,15753438,73157273,2011-08-01
2011,9,50982170,13220884,64203054,2011-09-01
2011,10,54124363,13199913,67324276,2011-10-01
2011,11,51660083,12156133,63816216,2011-11-01
2011,12,51534990,13559050,65094040,2011-12-01
2012,1,47080840,13206801,60287641,2012-01-01
2012,2,46405385,11732944,58138329,2012-02-01
2012,3,56200391,14387677,70588068,2012-03-01
2012,4,53691570,13995377,67686947,2012-04-01
2012,5,55749349,14291285,70040634,2012-05-01
2012,6,57903293,15582335,73485628,2012-06-01
2012,7,59688267,16969590,76657857,2012-07-01
2012,8,58646304,16616643,75262947,2012-08-01
2012,9,50134504,13791714,63926218,2012-09-01
2012,10,53779646,13397785,67177431,2012-10-01
2012,11,51844482,12763847,64608329,2012-11-01
2012,12,51165451,14097885,65263336,2012-12-01
2013,1,47816859,13768819,61585678,2013-01-01
2013,2,45740158,12037584,57777742,2013-02-01
2013,3,56564538,15188333,71752871,2013-03-01
2013,4,53228575,14301619,67530194,2013-04-01
2013,5,56562929,15353665,71916594,2013-05-01
2013,6,57990789,16403199,74393988,2013-06-01
2013,7,59310478,17748869,77059347,2013-07-01
2013,8,58115405,17666442,75781847,2013-08-01
2013,9,50766098,14368204,65134302,2013-09-01
2013,10,54706246,14341721,69047967,2013-10-01
2013,11,50542543,13260466,63803009,2013-11-01
2013,12,54332936,15205588,69538524,2013-12-01
2014,1,47957371,14692606,62649977,2014-01-01
2014,2,45513184,12482600,57995784,2014-02-01
2014,3,57762170,15604456,73366626,2014-03-01
