schoolID,districtID,score_t2,score_t1,change,meals,ell,yr_rnd,mobility,acs_k3,acs_46,not_hsg,hsg,some_col,col_grad,grad_sch,avg_ed,full,emer,enroll,mealcat,collcat,lgenroll,hsg_plus
906,41,693,600,93,67,9,0,11,16,22,0,0,0,0,0,NA,76,24,247,2,1,2.39269695325967,100
889,41,570,501,69,92,21,0,33,15,32,0,0,0,0,0,NA,79,19,463,3,1,2.66558099101795,100
887,41,546,472,74,97,29,0,36,17,25,0,0,0,0,0,NA,68,29,395,3,1,2.59659709562646,100
876,41,571,487,84,90,27,0,27,20,30,36,45,9,9,0,1.9099999666214,87,11,418,3,1,2.62117628177504,64
888,41,478,425,53,89,30,0,44,18,31,50,50,0,0,0,1.5,87,13,520,3,1,2.7160033436348,50
4284,98,858,844,14,10,3,0,10,20,33,1,8,24,36,31,3.89000010490417,100,0,343,1,2,2.53529412004277,99
4271,98,918,864,54,5,2,0,16,19,28,1,4,18,34,43,4.13000011444092,100,0,303,1,2,2.4814426285023,99
2910,108,831,791,40,2,3,0,44,20,31,0,4,16,50,30,4.05999994277954,96,2,1513,1,2,3.17983892802319,100
2899,108,860,838,22,5,6,0,10,20,30,2,9,15,42,33,3.96000003814697,100,0,660,1,2,2.81954393554187,98
2887,108,737,703,34,29,15,0,17,21,29,8,25,34,27,7,2.98000001907349,96,7,362,1,3,2.55870857053317,92
2911,108,851,808,43,1,2,0,16,20,30,0,3,16,45,37,4.15000009536743,100,2,768,1,2,2.88536122003151,100
2882,108,536,496,40,71,69,0,8,21,27,61,15,6,10,8,1.89999997615814,100,6,404,2,1,2.60638136511061,39
2907,108,847,815,32,3,2,0,11,20,29,1,5,17,41,37,4.07999992370605,97,3,586,1,2,2.76789761601809,99
2908,108,765,711,54,13,8,0,19,21,27,5,34,27,31,3,2.9300000667572,98,2,633,1,3,2.80140371001736,95
2895,108,809,802,7,7,8,0,16,20,31,5,27,25,37,6,3.11999988555908,89,7,379,1,3,2.57863920996807,95
2880,108,813,780,33,22,11,0,12,21,32,10,35,23,27,6,2.83999991416931,100,0,417,1,2,2.62013605497376,90
2890,108,856,816,40,7,6,0,13,21,29,1,10,15,42,32,3.95000004768372,100,0,670,1,2,2.82607480270083,99
3948,131,712,677,35,40,12,1,19,19,30,14,30,31,19,6,2.71000003814697,85,12,589,1,3,2.7701152947871,86
3956,131,805,759,46,10,1,0,26,21,31,2,16,41,29,12,3.30999994277954,93,7,770,1,3,2.88649072517248,98
3947,131,678,632,46,37,16,1,16,20,32,12,27,29,27,6,2.86999988555908,83,15,694,1,3,2.84135947045485,88
3952,131,619,570,49,57,25,1,24,19,31,19,25,29,20,6,2.6800000667572,75,25,611,2,3,2.78604121024255,81
3954,131,713,704,9,29,14,1,14,20,30,11,29,28,26,7,2.88000011444092,80,15,594,1,3,2.77378644498119,89
3943,131,704,618,86,57,19,1,22,20,30,15,32,35,14,5,2.61999988555908,69,29,564,2,3,2.75127910398334,85
3945,131,523,452,71,69,43,1,31,19,29,32,34,18,12,4,2.22000002861023,71,29,645,2,2,2.80955971463527,68
4293,135,655,632,23,65,44,0,21,20,29,0,0,0,0,0,NA,100,0,414,2,1,2.6170003411209,100
4299,135,523,441,82,74,52,1,23,19,28,0,0,0,100,0,4,87,13,631,2,1,2.80002935924413,100
4318,135,521,473,48,74,63,0,15,19,31,0,0,0,0,0,NA,94,3,343,2,1,2.53529412004277,100
4319,135,709,701,8,18,16,0,20,17,27,0,0,0,0,0,NA,96,7,404,1,1,2.60638136511061,100
4296,135,505,452,53,75,59,0,27,19,30,0,0,0,0,0,NA,94,6,504,2,1,2.70243053644553,100
4317,135,762,744,18,18,16,0,15,20,30,0,100,0,0,0,2,100,0,512,1,1,2.70926996097583,100
4322,135,722,684,38,11,21,0,20,20,28,0,0,0,0,0,NA,95,5,637,1,1,2.80413943233535,100
4307,135,603,520,83,71,54,0,19,19,30,50,25,25,0,0,1.75,88,15,594,2,3,2.77378644498119,50
4302,135,657,579,78,67,36,0,17,19,30,22,44,33,0,0,2.10999989509583,100,0,500,2,3,2.69897000433602,78
4314,135,705,655,50,46,42,0,32,17,27,0,0,0,100,0,4,96,0,320,1,1,2.50514997831991,100
4292,135,754,748,6,25,25,0,18,20,27,13,40,33,0,13,2.59999990463257,100,4,309,1,3,2.48995847942483,87
4304,135,490,431,59,71,54,0,25,23,30,0,0,0,0,0,NA,65,43,748,2,1,2.87390159786446,100
4308,135,698,680,18,44,18,0,21,19,29,100,0,0,0,0,1,100,0,527,1,1,2.72181061521255,0
600,140,843,805,38,25,6,0,17,20,32,6,35,22,28,9,2.98000001907349,91,6,465,1,2,2.66745295288995,94
596,140,800,769,31,56,6,0,41,19,30,9,32,32,21,5,2.8199999332428,94,6,451,2,3,2.65417654187796,91
611,140,857,857,0,13,4,0,12,20,32,4,11,35,31,19,3.48000001907349,100,0,432,1,3,2.63548374681491,96
595,140,713,664,49,63,35,0,15,21,32,40,29,15,12,4,2.08999991416931,92,8,524,2,2,2.71933128698373,60
592,140,804,873,-69,38,8,0,33,21,35,10,30,35,20,5,2.78999996185303,97,3,427,1,3,2.63042787502502,90
602,140,864,831,33,24,5,0,35,21,35,4,19,33,30,14,3.30999994277954,100,3,562,1,3,2.74973631556906,96
5222,166,940,917,23,0,2,0,3,20,31,0,0,4,28,67,4.61999988555908,90,0,305,1,1,2.48429983934679,100
5210,166,792,779,13,9,3,0,19,20,31,2,5,17,38,38,4.05000019073486,84,0,467,1,2,2.66931688056611,98
5217,166,887,882,5,3,5,0,14,21,31,0,4,7,32,57,4.42000007629395,93,10,520,1,1,2.7160033436348,100
3644,209,775,726,49,26,13,0,18,21,33,4,10,35,36,16,3.50999999046326,93,7,816,1,3,2.91169015875386,96
3643,209,822,766,56,16,10,1,47,21,32,1,11,29,38,19,3.63000011444092,95,3,830,1,3,2.91907809237607,99
3624,209,806,745,61,21,6,1,25,19,30,5,30,28,21,16,3.11999988555908,90,5,487,1,3,2.68752896121463,95
3623,209,816,745,71,16,6,0,18,19,32,6,17,27,36,14,3.34999990463257,100,0,307,1,3,2.48713837547719,94
3629,209,553,485,68,86,38,1,32,20,32,33,28,27,8,4,2.20000004768372,95,5,819,3,3,2.91328390176042,67
3622,209,686,633,53,75,33,1,24,21,32,32,35,16,14,3,2.21000003814697,98,2,744,2,2,2.87157293554588,68
4017,238,483,444,39,79,40,1,24,20,28,37,27,27,7,3,2.13000011444092,87,13,672,2,3,2.82736927305383,63
58,248,801,765,36,20,12,0,18,19,30,7,16,25,36,15,3.34999990463257,89,14,416,1,3,2.61909333062674,93
70,248,753,694,59,25,19,0,14,21,29,10,22,19,34,16,3.25,85,20,286,1,2,2.45636603312904,90
65,248,903,889,14,7,8,0,21,22,30,1,9,15,34,41,4.05999994277954,77,23,488,1,2,2.68841982200271,99
657,253,454,443,11,100,53,1,21,19,29,47,33,11,8,0,1.82000005245209,93,11,656,3,1,2.81690383937566,53
697,253,440,428,12,100,67,1,19,19,29,58,26,12,3,1,1.63999998569489,88,19,577,3,1,2.76117581315573,42
646,253,519,491,28,93,33,0,19,19,29,43,27,19,10,1,2.00999999046326,100,5,523,3,2,2.71850168886727,57
640,253,512,477,35,84,33,1,24,19,29,27,35,21,16,2,2.30999994277954,98,10,672,3,2,2.82736927305383,73
629,253,525,522,3,92,41,1,15,19,30,45,34,14,6,1,1.85000002384186,98,2,678,3,1,2.83122969386706,55
659,253,486,480,6,90,44,1,27,19,30,47,32,12,8,2,1.85000002384186,94,15,680,3,1,2.83250891270624,53
