UID,ENG COMP Placement,Course Preference,Post-AWPE Survey,H/L/A,Unweighted GPA
306129038,1,1,27,A,3.78
806247317,1,1,28,A,4
306214277,1,1,28,A,3.55
406206856,1,1,28,A,3.92
706247898,1,1,30,A,3.93
6257305,1,1,31,A,3.4
706207171,1,1,31,A,3.65
306163758,1,1,32,A,3.9
806137385,1,1,32,A,2.65
906228498,1,1,32,A,3.83
206250751,1,4,34,A,4
806328832,1,1,37,A,2.03
306207494,1,1,37,A,3.91
106176587,1,1,38,A,0
6245063,1,2,31,H,3.92
606142811,1,2,31,H,3.76
906248774,1,2,32,H,4
6208367,1,2,33,H,3.91
306318939,1,2,34,H,3.3
706192886,1,2,34,H,3.96
406106908,1,2,35,H,4
706305162,1,2,35,H,3.04
206217912,1,5,35,H,NA
105922600,1,2,36,H,3
606106907,1,2,36,H,3.95
706167170,1,3,36,H,3.75
906130005,1,2,36,H,4
806206492,1,3,36,H,3.88
506208299,1,2,37,H,3.66
606225222,1,2,37,H,2.5
6119516,1,2,38,H,3.96
6307145,1,2,38,H,3.15
906273594,1,2,38,H,3.05
6106910,1,3,38,H,3.87
6133555,1,2,39,H,3.85
106305160,1,2,40,H,3.7
706332009,1,2,40,H,3.29
306137849,1,2,40,H,3.66
6144950,1,2,40,H,3.8
306141097,1,3,40,H,3.77
706270389,1,3,40,H,3.85
906261143,1,3,41,H,3.95
206315205,1,3,42,H,2.78
6137539,1,3,42,H,4
506205286,1,3,43,H,4
206188815,1,2,44,H,3.48
906143041,1,NA,25,L,3.75
206129265,1,NA,NA,NA,3.75
106197132,2,2,24,A,3.67
206155438,2,5,25,A,3.91
106128412,2,2,26,A,4
106197113,2,2,28,A,3.95
306248456,2,2,28,A,3.95
606198006,2,2,28,A,3.72
205459817,2,2,28,A,NA
306217959,2,2,29,A,4
806228031,2,2,29,A,3.96
806212860,2,2,29,A,3.87
906228196,2,2,29,A,3.66
106174362,2,2,29,A,4
306259807,2,2,30,A,3.96
406246999,2,2,30,A,4
206249970,2,2,30,A,4
706192363,2,2,30,A,3.95
406256653,2,2,30,A,3.8
306205961,2,2,30,A,3.64
506147456,2,2,30,A,3.93
506008988,2,2,30,A,4
906159659,2,2,30,A,3.87
706117934,2,2,31,A,3.88
706206020,2,2,31,A,3.75
906106901,2,2,31,A,3.8
406248106,2,2,31,A,3.96
906137926,2,2,31,A,3.54
206161986,2,2,31,A,4
6269450,2,5,31,A,3.96
206154641,2,2,32,A,4
906254289,2,2,32,A,3.7
406189164,2,2,32,A,3.9
306112486,2,2,32,A,2.7
506228056,2,2,32,A,3.96
806216943,2,2,32,A,4
906202196,2,2,32,A,4
406187184,2,2,32,A,4
506218613,2,2,32,A,4
406125619,2,2,32,A,3.54
606141185,2,2,32,A,4
306096938,2,2,33,A,4
306279042,2,2,33,A,3.74
6271759,2,2,33,A,3.95
306245655,2,2,33,A,3.95
406249870,2,2,33,A,3.87
206244897,2,2,33,A,3.83
806221261,2,2,33,A,3.92
906236568,2,2,33,A,3.7
106173310,2,2,33,A,3.3
