"name","address","city","state","zip"
"IRVINE","4115 CAMPUS DRIVE","IRVINE","CA",92612
"CARLSBAD","5950 AVENIDA ENCINAS","CARLSBAD","CA",92008
"ORANGE (TUSTIN & LINCOLN)","2585 N. TUSTIN ST.","ORANGE","CA",92865
"MURRIETA","39697 AVENIDA ACACIAS","MURRIETA","CA",92563
"CORONA (AUTO CENTER DR.)","450 AUTO CENTER DR.","CORONA","CA",92882
"VACAVILLE","170 NUT TREE PKWY","VACAVILLE","CA",95687
"MIDVALE","7206 S. UNION PARK AVE.","MIDVALE","UT",84047
"DAVIS","1020 OLIVE DRIVE","DAVIS","CA",95616
"ARROYO GRANDE","1170 W. BRANCH STREET","ARROYO GRANDE","CA",93420
"COVINA","1371 GRAND AVE.","COVINA","CA",91724
"SUNNYVALE","604 E EL CAMINO REAL","SUNNYVALE","CA",94087
"PRESCOTT","3040 HWY. 69","PRESCOTT","AZ",86301
"WESTCHESTER","9149 S. SEPULVEDA BLVD.","LOS ANGELES","CA",90045
"REDONDO BEACH","3801 INGLEWOOD AVE","REDONDO BEACH","CA",90278
"TORRANCE (CARSON ST.)","730 W. CARSON","TORRANCE","CA",90502
"LAGUNA HILLS (EL TORO)","24001 AVE. CARLOTA","LAGUNA HILLS","CA",92653
"SAN JOSE (SANTA TERESA BLVD.)","5611 SANTA TERESA","SAN JOSE","CA",95123
"SAN FRANCISCO","333 JEFFERSON","SAN FRANCISCO","CA",94133
"PORTER RANCH","19901 RINALDI STREET","PORTER RANCH","CA",91326
"GLENDALE (BRAND & BROADWAY)","119 S. BRAND BLVD.","GLENDALE","CA",91204
"SANTA ANA (BRISTOL & CIVIC CENTER)","815 NO. BRISTOL","SANTA ANA","CA",92703
"ANAHEIM","600 S. BROOKHURST","ANAHEIM","CA",92804
"NORTH HOLLYWOOD","5864 LANKERSHIM","N. HOLLYWOOD","CA",91605
"SAN MARCOS","583 GRAND AVENUE","SAN MARCOS","CA",92078
"LA VERNE","2098 FOOTHILL BLVD.","LA VERNE","CA",91750
"WEST COVINA (SAN BERNARDINO RD.)","15610 SAN BERNARDINO","WEST COVINA","CA",91790
"PASADENA","2114 E. FOOTHILL","PASADENA","CA",91107
"AZUSA","324 S. AZUSA","AZUSA","CA",91702
"LA PUENTE","15259 E. AMAR RD.","LA PUENTE","CA",91744
"POMONA (INDIAN HILL BLVD.)","1851 INDIAN HILL","POMONA","CA",91767
"PANORAMA CITY","13651 ROSCOE BLVD.","PANORAMA CITY","CA",91402
"HACIENDA HEIGHTS","14620 E. GALE","HACIENDA HEIGHTS","CA",91745
"TEMPLE CITY","10601 LOWER AZUSA RD","TEMPLE CITY","CA",91780
"NORWALK","14330 PIONEER BLVD.","NORWALK","CA",90650
"TUJUNGA","6225 FOOTHILL BLVD.","TUJUNGA","CA",91042
"WOODLAND HILLS","19920 VENTURA BLVD.","WOODLAND HILLS","CA",91364
"GARDEN GROVE","9032 TRASK AVE.","GARDEN GROVE","CA",92844
"NORTHRIDGE (BALBOA & LASSEN)","9858 BALBOA BLVD","NORTHRIDGE","CA",91325
"ONTARIO (MOUNTAIN AVE.)","2235 MOUNTAIN","ONTARIO","CA",91761
"FONTANA","9855 SIERRA AVE.","FONTANA","CA",92335
"RANCHO CUCAMONGA (FOOTHILL & VINEYARD)","8955 FOOTHILL BLVD.","RANCHO CUCAMONGA","CA",91730
"PEORIA","8285 W. BELL ROAD","PEORIA","AZ",85382
"ARCADIA","420 N. SANTA ANITA","ARCADIA","CA",91006
"PLEASANT HILL","570 CONTRA COSTA BLVD.","PLEASANT HILL","CA",94523
"WESTMINSTER","6292 WESTMINSTER BLV","WESTMINSTER","CA",92683
"MODESTO","3900 PELANDALE AVE","MODESTO","CA",95356
"SAN BERNARDINO (TIPPECANOE)","1065 HARRIMAN PL","SAN BERNARDINO","CA",92408
"POMONA (GAREY AVE.)","2505 GAREY AVE.","POMONA","CA",91766
"ONTARIO (VINEYARD & ""G"" ST.)","1891 E. ""G"" ST.","ONTARIO","CA",91764
"LA HABRA","2030 E. LAMBERT RD","LA HABRA","CA",90631
"PEDLEY","6634 CLAY","RIVERSIDE","CA",92509
"LAKEWOOD","5820 BELLFLOWER BLVD","LAKEWOOD","CA",90713
"CAMARILLO","1316 VENTURA BLVD","CAMARILLO","CA",93010
"BUENA PARK","7926 VALLEY VIEW","BUENA PARK","CA",90620
"LANCASTER","2021 W. AVENUE ""I""","LANCASTER","CA",93536
"MORENO VALLEY","23035 HEMLOCK","MORENO VALLEY","CA",92557
"UPLAND","1837 FOOTHILL BLVD","UPLAND","CA",91786
"RIVERSIDE","7467 INDIANA AVE","RIVERSIDE","CA",92504
"SANTA FE SPRINGS","10525 CARMENITA","SANTA FE SPRINGS","CA",90670
"NORCO","1810 HAMNER","NORCO","CA",92860
"PICO RIVERA","9070 WHITTIER BLVD","PICO RIVERA","CA",90660
"THOUSAND PALMS","72265 VARNER RD","THOUSAND PALMS","CA",92276
"INDIO","82043 HWY. 111","INDIO","CA",92201
"HEMET","2885 W. FLORIDA AVE.","HEMET","CA",92545
"NEWHALL","25220 N THE OLD ROAD","NEWHALL","CA",91321
"LAKE ELSINORE","331 RAILROAD CANYON","LAKE ELSINORE","CA",92532
"WEST LOS ANGELES","9245 W VENICE BLVD","LOS ANGELES","CA",90034
"SAN FERNANDO","11455 LAUREL CNY BL","SAN FERNANDO","CA",91340
"LEMON GROVE","7160 BROADWAY","LEMON GROVE","CA",91945
"LONG BEACH (LOS COYOTES DIAGONAL)","4600 LOS COYOTES DGL","LONG BEACH","CA",90815
"LAS VEGAS (SAHARA)","2900 W SAHARA AVE","LAS VEGAS","NV",89102
"TEMECULA (JEFFERSON AVE.)","27700 JEFFERSON AVE","TEMECULA","CA",92590
"LAS VEGAS (NELLIS)","51 N NELLIS","LAS VEGAS","NV",89110
"WEST COVINA (GARVEY AVE.)","2940 E GARVEY AVE","WEST COVINA","CA",91791
"BAKERSFIELD (PANAMA LN.)","2310 PANAMA LANE","BAKERSFIELD","CA",93307
"CITY OF INDUSTRY","17849 E COLIMA ROAD","CITY OF INDUSTRY","CA",91748
"PHOENIX (27TH AVE.)","19407 N. 27TH AVE.","PHOENIX","AZ",85027
"HESPERIA (BEAR VALLEY RD.)","17069 BEAR VALLEY RD","HESPERIA","CA",92345
"NATIONAL CITY","500 MILE-OF CARS WAY","NATIONAL CITY","CA",91950
"EL CAJON","1541 N MAGNOLIA AVE","EL CAJON","CA",92020
"HUNTINGTON PARK","6000 PACIFIC BLVD","HUNTINGTON PARK","CA",90255
"VENTURA","2070 HARBOR BLVD","VENTURA","CA",93001
"FULLERTON","1180 S HARBOR BLVD","FULLERTON","CA",92832
"PACIFIC BEACH","2910 DAMON AVE","PACIFIC BEACH","CA",92109
"PALMDALE","142 E PALMDALE BLVD","PALMDALE","CA",93550
"FRESNO (SHAW)","5106 W SHAW ST","FRESNO","CA",93722
"FRESNO (BLACKSTONE & ASHLAN)","4302 N BLACKSTONE AV","FRESNO","CA",93726
"RANCHO CUCAMONGA (FOOTHILL & I-15)","12599 FOOTHILL BLVD","RANCHO CUCAMONGA","CA",91739
"SHERMAN OAKS","4444 VAN NUYS BLVD","SHERMAN OAKS","CA",91403
"LAS VEGAS (DEAN MARTIN & TROPICANA)","4888 DEAN MARTIN DR","LAS VEGAS","NV",89103
"LAS VEGAS (MARYLAND PKWY & TROPICANA)","4705 S MARYLAND PKWY","LAS VEGAS","NV",89119
"MERCED","1579 M L KING JR WAY","MERCED","CA",95340
"FRESNO (2ND STREET)","2657 S SECOND ST","FRESNO","CA",93706
"LAGUNA NIGUEL (LA PAZ)","27380 LA PAZ RD","LAGUNA NIGUEL","CA",92677
"KETTLEMAN CITY","33464 BERNARD DR","KETTLEMAN CITY","CA",93239
"TRACY","575 CLOVER ROAD","TRACY","CA",95376
"FOOTHILL RANCH","26482 TOWNE CENTRE","FOOTHILL RANCH","CA",92610
"SALINAS","151 KERN STREET","SALINAS","CA",93905
"GILROY","641 LEAVESLEY RD","GILROY","CA",95020
"STOCKTON","2727 W MARCH LANE","STOCKTON","CA",95219
"HOLLYWOOD","7009 SUNSET BLVD.","HOLLYWOOD","CA",90028
"SANTA ANA (MACARTHUR)","3361 S. BRISTOL","SANTA ANA","CA",92704
"LAS VEGAS (LAKE MEAD BLVD.)","1960 ROCK SPRINGS","LAS VEGAS","NV",89128
"LA MIRADA","14341 FIRESTONE BLVD","LA MIRADA","CA",90638
"VISALIA","1933 S MOONEY BLVD","VISALIA","CA",93277
"SANTA CLARITA (SAND CANYON)","28368 SAND CANYON RD","SANTA CLARITA","CA",91351
"GOLETA","4865 CALLE REAL","GOLETA","CA",93111
"BURBANK","761 FIRST STREET","BURBANK","CA",91502
"STUDIO CITY","3640 CAHUENGA BLVD","LOS ANGELES","CA",90068
"LONG BEACH","6391 E. PAC CST HWY","LONG BEACH","CA",90803
"CENTERVILLE","475 NORTH 700 WEST","CENTERVILLE","UT",84014
"ELK GROVE","9188 E STOCKTON BLVD","ELK GROVE","CA",95624
"WESTWOOD","922 GAYLEY","LOS ANGELES","CA",90024
"PINOLE","1417 FITZGERALD DR.","PINOLE","CA",94564
"RANCHO CORDOVA","2475 SUNRISE BLVD","RANCHO CORDOVA","CA",95670
"SAN DIEGO (SPORTS ARENA BLVD.)","3102 SPORTS ARENA BL","SAN DIEGO","CA",92110
"FAIRFIELD","1364 HOLIDAY LANE","FAIRFIELD","CA",94534
"ANAHEIM HILLS","5646 E. LA PALMA","ANAHEIM HILLS","CA",92807
"NAPA","820 IMOLA AVENUE","NAPA","CA",94559
"MISSION VALLEY","2005 CAMINO DEL ESTE","SAN DIEGO","CA",92108
"SACRAMENTO (TRUXEL)","3501 TRUXEL ROAD","SACRAMENTO","CA",95834
"ROSEVILLE (TAYLOR RD.)","1803 TAYLOR","ROSEVILLE","CA",95661
"VAN NUYS","7930 VAN NUYS BLVD.","VAN NUYS","CA",91402
"LONG BEACH (CARSON ST.)","7691 CARSON ST.","LONG BEACH","CA",90808
"SANTA MARIA","1330 S. BRADLEY ROAD","SANTA MARIA","CA",93454
"REDDING","1275 DANA DRIVE","REDDING","CA",96003
"PLACERVILLE","3055 FORNI ROAD","PLACERVILLE","CA",95667
"CULVER CITY","13425 WASHINGTON BLV","MARINA DEL REY","CA",90292
"LAKE HAVASU CITY","81-101 LONDON BRIDGE","LAKE HAVASU CITY","AZ",86403
"ONTARIO (ONTARIO MILLS)","4310 E ONT MILLS PKW","ONTARIO","CA",91764
"BAKERSFIELD (STOCKDALE HWY)","5100 STOCKDALE HWY","BAKERSFIELD","CA",93309
"DOWNEY","8767 FIRESTONE BLVD.","DOWNEY","CA",90241
"CHICO","2050 BUSINESS LANE","CHICO","CA",95928
"CHINO","3927 GRAND AVE.","CHINO","CA",91710
"LIVERMORE","1881 N LIVERMORE AVE","LIVERMORE","CA",94550
"HENDERSON","1051 W. SUNSET ROAD","HENDERSON","NV",89014
"SAN PEDRO","1090 N. WESTERN AVE.","SAN PEDRO","CA",90732
"MOUNTAIN VIEW (EL CAMINO REAL & GRANT)","53 W. EL CAMINO REAL","MOUNTAIN VIEW","CA",94040
"GLENDALE (HARVEY & HOLLY)","310 N. HARVEY DR.","GLENDALE","CA",91206
"SAN JOSE (CAPITOL & TULLY)","2950 E. CAPITOL EXWY","SAN JOSE","CA",95148
"DALY CITY","260 WASHINGTON ST.","DALY CITY","CA",94015
"DESERT RIDGE","21001 N. TATUM BLVD","PHOENIX","AZ",85050
"TURLOCK","3071 COUNTRYSIDE DR.","TURLOCK","CA",95380
"OCEANSIDE","4605 FRAZEE","OCEANSIDE","CA",92057
"OXNARD","381 W. ESPLANADE","OXNARD","CA",93036
"LAS VEGAS (EASTERN AVE.)","9240 S. EASTERN AVE.","LAS VEGAS","NV",89123
