name,address,city,state,zip,latitude,longitude
COVINA,1371 GRAND AVE.,COVINA,CA,91724,43.0301989,-76.2036483
WESTCHESTER,9149 S. SEPULVEDA BLVD.,LOS ANGELES,CA,90045,33.95370685,-118.39678442262532
REDONDO BEACH,3801 INGLEWOOD AVE,REDONDO BEACH,CA,90278,33.8921003,-118.36178845107914
TORRANCE (CARSON ST.),730 W. CARSON,TORRANCE,CA,90502,33.831136,-118.28841124776768
PORTER RANCH,19901 RINALDI STREET,PORTER RANCH,CA,91326,34.2758721,-118.5680476810692
GLENDALE (BRAND & BROADWAY),119 S. BRAND BLVD.,GLENDALE,CA,91204,34.1455816,-118.25526
NORTH HOLLYWOOD,5864 LANKERSHIM,N. HOLLYWOOD,CA,91605,34.177448850000005,-118.38192443337638
LA VERNE,2098 FOOTHILL BLVD.,LA VERNE,CA,91750,34.1131179,-117.76565740650358
WEST COVINA (SAN BERNARDINO RD.),15610 SAN BERNARDINO,WEST COVINA,CA,91790,19.47698,-98.896654
PASADENA,2114 E. FOOTHILL,PASADENA,CA,91107,38.4548683,-122.6908594
AZUSA,324 S. AZUSA,AZUSA,CA,91702,34.06798827272728,-117.90757466666666
LA PUENTE,15259 E. AMAR RD.,LA PUENTE,CA,91744,34.036227,-117.9341391
POMONA (INDIAN HILL BLVD.),1851 INDIAN HILL,POMONA,CA,91767,41.7097565,-88.2685725
PANORAMA CITY,13651 ROSCOE BLVD.,PANORAMA CITY,CA,91402,34.22196245,-118.43078439400144
HACIENDA HEIGHTS,14620 E. GALE,HACIENDA HEIGHTS,CA,91745,43.148753,-77.5530938
TEMPLE CITY,10601 LOWER AZUSA RD,TEMPLE CITY,CA,91780,34.09243735,-118.03846624354294
NORWALK,14330 PIONEER BLVD.,NORWALK,CA,90650,33.90124335,-118.08232653566311
TUJUNGA,6225 FOOTHILL BLVD.,TUJUNGA,CA,91042,34.2410701,-118.26665062177644
WOODLAND HILLS,19920 VENTURA BLVD.,WOODLAND HILLS,CA,91364,34.1720064,-118.56661505630608
NORTHRIDGE (BALBOA & LASSEN),9858 BALBOA BLVD,NORTHRIDGE,CA,91325,34.25002055,-118.50195645424718
ONTARIO (MOUNTAIN AVE.),2235 MOUNTAIN,ONTARIO,CA,91761,33.016778,-116.884334
RANCHO CUCAMONGA (FOOTHILL & VINEYARD),8955 FOOTHILL BLVD.,RANCHO CUCAMONGA,CA,91730,34.10617385,-117.60967027113152
ARCADIA,420 N. SANTA ANITA,ARCADIA,CA,91006,34.18088897959184,-118.30241418367348
POMONA (GAREY AVE.),2505 GAREY AVE.,POMONA,CA,91766,34.02580505,-117.7495157253886
"ONTARIO (VINEYARD & ""G"" ST.)","1891 E. ""G"" ST.",ONTARIO,CA,91764,44.38234798740373,-89.80342308047243
LA HABRA,2030 E. LAMBERT RD,LA HABRA,CA,90631,33.92437485,-117.92374007135892
LAKEWOOD,5820 BELLFLOWER BLVD,LAKEWOOD,CA,90713,33.86097695,-118.1247314755137
BUENA PARK,7926 VALLEY VIEW,BUENA PARK,CA,90620,33.4881671,-97.1650129
UPLAND,1837 FOOTHILL BLVD,UPLAND,CA,91786,33.75878100435578,-117.78358918760404
SANTA FE SPRINGS,10525 CARMENITA,SANTA FE SPRINGS,CA,90670,33.939620700000006,-118.04683794438328
PICO RIVERA,9070 WHITTIER BLVD,PICO RIVERA,CA,90660,34.0005356,-118.08307235487013
NEWHALL,25220 N THE OLD ROAD,NEWHALL,CA,91321,39.8230665,-111.8549167
WEST LOS ANGELES,9245 W VENICE BLVD,LOS ANGELES,CA,90034,34.0124997,-118.4180723
SAN FERNANDO,11455 LAUREL CNY BL,SAN FERNANDO,CA,91340,NA,NA
LONG BEACH (LOS COYOTES DIAGONAL),4600 LOS COYOTES DGL,LONG BEACH,CA,90815,NA,NA
WEST COVINA (GARVEY AVE.),2940 E GARVEY AVE,WEST COVINA,CA,91791,34.071399850000006,-117.8819012642136
CITY OF INDUSTRY,17849 E COLIMA ROAD,CITY OF INDUSTRY,CA,91748,40.079098,-75.043945
HUNTINGTON PARK,6000 PACIFIC BLVD,HUNTINGTON PARK,CA,90255,33.9870033,-118.2248363
