Date,Cents
"July 1, 1885",2
"November 2, 1917",3
"July 1, 1919",2
"July 6, 1932",3
"August 1, 1958",4
"January 7, 1963",5
"January 7, 1968",6
"May 16, 1971",8
"March 2, 1974",10
"December 31, 1975",13
"May 29, 1978",15
"March 22, 1981",18
"November 1, 1981",20
"February 17, 1985",22
"April 3, 1988",25
"February 3, 1991",29
"January 1, 1995",32
"January 10, 1999",33
"January 7, 2001",34
"June 30, 2002",37
"January 8, 2006",39
"May 14, 2007",41
"May 12, 2008",42
"May 11, 2009",44
"January 22, 2012",45
"January 27, 2013",46
"January 26, 2014",49
"April 10, 2016",47
"January 22, 2017",49
"January 21, 2018",50
"January 27, 2019",55
"August 29, 2021",58
"July 10, 2022",60
"January 22, 2023",63
"July 9, 2023",66
"January 21, 2024",68
