AFFGEOID,County Name,Total Pop,Total Pop Under 18,Pct_Below_Poverty,Pct_Below_Poverty_U18,Pct_Below_Poverty_65Over,Pct_Below_Poverty_Male,Pct_Below_Poverty_Female
0500000US01003,"Baldwin County, Alabama",241525,49558,13.4,17.8,7.1,13.7,13.1
0500000US01015,"Calhoun County, Alabama",111451,24233,18.3,28,10.6,13.8,22.8
0500000US01043,"Cullman County, Alabama",89595,20051,17.9,20.9,11.8,15.5,20.3
0500000US01049,"DeKalb County, Alabama",70267,15991,19.9,26.1,16.8,15,24.7
0500000US01051,"Elmore County, Alabama",85226,18639,10.7,12.4,9.3,10.4,11
0500000US01055,"Etowah County, Alabama",101261,21518,17.6,25.8,11.3,14.2,20.7
0500000US01069,"Houston County, Alabama",107230,24072,17.5,27.8,11,16.4,18.5
0500000US01073,"Jefferson County, Alabama",646605,147306,16.4,21.7,12.3,14.7,17.9
0500000US01077,"Lauderdale County, Alabama",92667,18547,11.5,16.5,9.8,9,13.8
0500000US01081,"Lee County, Alabama",173273,36580,15.1,7.8,9.4,15.7,14.6
0500000US01083,"Limestone County, Alabama",107692,24059,9.5,15.7,11.8,8.7,10.2
0500000US01089,"Madison County, Alabama",393100,85145,11.4,13.8,8.4,9.4,13.3
0500000US01095,"Marshall County, Alabama",98096,25321,16.9,22.8,13.6,12.6,21.1
0500000US01097,"Mobile County, Alabama",403371,94075,19.1,27.4,14.1,15.9,22.2
0500000US01101,"Montgomery County, Alabama",216621,51779,17.3,26.9,9.9,15.3,19.1
0500000US01103,"Morgan County, Alabama",121914,27997,12.5,15.3,9.5,11.7,13.2
0500000US01115,"St. Clair County, Alabama",91813,20702,13.1,19.4,10.4,11.3,14.9
0500000US01117,"Shelby County, Alabama",226033,50407,6.2,5.9,11.8,5.6,6.8
0500000US01121,"Talladega County, Alabama",77427,16163,18,26,14.6,15.4,20.2
0500000US01125,"Tuscaloosa County, Alabama",220784,45974,16.7,21.7,12.1,14.2,19
0500000US02020,"Anchorage Municipality, Alaska",281166,66558,11.1,15.9,9.9,10.2,12
0500000US02090,"Fairbanks North Star Borough, Alaska",91659,21438,7.1,5.1,8.4,6.5,7.9
0500000US02170,"Matanuska-Susitna Borough, Alaska",110111,28254,10.4,13.2,8.8,9.8,11.1
0500000US04001,"Apache County, Arizona",64254,16840,28.1,33.2,25.3,27.7,28.6
0500000US04003,"Cochise County, Arizona",120607,25315,17.8,25.1,12.7,15.6,19.9
0500000US04005,"Coconino County, Arizona",133203,27525,17,21.3,12,16.9,17.1
0500000US04013,"Maricopa County, Arizona",4486042,1005522,10.8,13.9,10,9.9,11.6
0500000US04015,"Mohave County, Arizona",215093,34329,17,23.7,11,15.2,18.7
0500000US04017,"Navajo County, Arizona",106297,26983,28.1,35.7,20.1,25.1,31
0500000US04019,"Pima County, Arizona",1031053,203813,14.4,17.7,8.7,13.3,15.6
0500000US04021,"Pinal County, Arizona",446986,98152,11,14.2,9.4,10,12.1
0500000US04025,"Yavapai County, Arizona",242449,36268,14.2,22.2,9.7,13.5,14.9
0500000US04027,"Yuma County, Arizona",201371,51560,13.2,12.6,13.3,13,13.3
0500000US05007,"Benton County, Arkansas",298402,74014,7.3,9.5,8.1,7,7.6
0500000US05031,"Craighead County, Arkansas",109570,27823,17.9,26.4,12.3,11.5,23.8
0500000US05045,"Faulkner County, Arkansas",122009,27560,16.1,15.2,14.9,15,17.1
0500000US05051,"Garland County, Arkansas",98515,18663,17.9,20.1,16.8,14.6,21
0500000US05069,"Jefferson County, Arkansas",58172,13688,20.3,33.4,15.1,18.1,22.3
0500000US05085,"Lonoke County, Arkansas",74105,17599,12.5,20,8.5,10.3,14.8
0500000US05119,"Pulaski County, Arkansas",390195,89808,17.6,27.6,8.3,15.9,19.2
0500000US05125,"Saline County, Arkansas",126180,29089,10.7,12.5,7.9,10,11.3
0500000US05131,"Sebastian County, Arkansas",127316,29991,17.6,17.8,15.1,17.2,18
0500000US05143,"Washington County, Arkansas",245921,57787,14.8,14.3,11.3,14.3,15.3
0500000US05145,"White County, Arkansas",75316,17846,16.2,17.8,8.8,13.5,18.7
0500000US06001,"Alameda County, California",1599844,312600,10.1,10.2,11.6,9.2,11
0500000US06007,"Butte County, California",202356,40664,18.8,18.7,14.2,16.4,21.2
0500000US06013,"Contra Costa County, California",1147053,246490,8.7,10.4,9.2,8.2,9.2
0500000US06017,"El Dorado County, California",191241,36252,7.3,2.9,7.4,6.4,8.1
0500000US06019,"Fresno County, California",996324,273989,18.7,25.7,13.4,18.3,19.1
0500000US06023,"Humboldt County, California",132174,23600,18.4,20.2,12.5,15.7,21.1
0500000US06025,"Imperial County, California",172247,49518,22.6,29.9,22.9,20.9,24.3
0500000US06029,"Kern County, California",892322,257975,17.9,23.6,14.5,16.5,19.3
0500000US06031,"Kings County, California",139712,40583,18.8,25.4,8.9,17.8,19.7
0500000US06033,"Lake County, California",66685,13393,16.8,23.1,9,16.1,17.4
0500000US06037,"Los Angeles County, California",9571103,1950295,13.9,18,14.6,12.7,15
0500000US06039,"Madera County, California",153587,42486,24.3,38.2,16,24.5,24.1
0500000US06041,"Marin County, California",250519,47364,7.7,10,5.5,8.1,7.4
0500000US06045,"Mendocino County, California",88347,18226,19.1,24.3,12.5,21.1,17.2
0500000US06047,"Merced County, California",286796,82384,19.3,28.3,16.1,16.4,22.4
0500000US06053,"Monterey County, California",414076,108050,12,16.9,8.7,10.8,13.3
0500000US06055,"Napa County, California",131912,25411,8.8,10.1,9.4,8.4,9.2
0500000US06057,"Nevada County, California",101318,17023,11,4.9,14.7,10.6,11.4
0500000US06059,"Orange County, California",3108257,643632,9.9,10.7,11,9.2,10.5
0500000US06061,"Placer County, California",413973,88918,6.2,4.8,7.7,5.5,7
0500000US06065,"Riverside County, California",2442064,586375,10.7,13,11.6,9.6,11.9
0500000US06067,"Sacramento County, California",1567307,355244,12.1,15.2,11,10.8,13.4
0500000US06069,"San Benito County, California",67249,16862,3.6,2.1,4.6,1.8,5.5
0500000US06071,"San Bernardino County, California",2153916,547023,13.4,18.2,13.3,12,14.9
0500000US06073,"San Diego County, California",3176013,668787,10.6,12.4,9.5,9.4,11.8
0500000US06075,"San Francisco County, California",794906,107887,10.4,5.7,15.7,10.5,10.3
0500000US06077,"San Joaquin County, California",782894,204792,12.1,16,11.6,11.7,12.4
0500000US06079,"San Luis Obispo County, California",268235,46075,12.2,10.8,6.6,11.8,12.6
0500000US06081,"San Mateo County, California",721852,137376,7.2,7.7,8.7,6.2,8.2
0500000US06083,"Santa Barbara County, California",422862,94927,14.4,17,10.3,13.3,15.5
0500000US06085,"Santa Clara County, California",1836579,372418,7.4,6.7,8.8,7,7.9
0500000US06087,"Santa Cruz County, California",253790,46728,12.9,10.9,10,13.3,12.5
0500000US06089,"Shasta County, California",177911,37763,13.7,13.2,11.8,11.6,15.8
0500000US06095,"Solano County, California",439462,96036,10.1,12,9.5,9.6,10.5
0500000US06097,"Sonoma County, California",475284,87711,8.8,8.7,8.8,8.3,9.4
0500000US06099,"Stanislaus County, California",546148,143925,15.1,18.9,14.7,14.1,16.2
0500000US06101,"Sutter County, California",97454,23543,15.9,22.5,8.9,12.8,19.3
0500000US06103,"Tehama County, California",64591,15172,14.5,15.2,17,13.7,15.2
0500000US06107,"Tulare County, California",472001,139285,18.2,24.7,12,16.7,19.7
0500000US06111,"Ventura County, California",820508,173892,9.4,13,8.9,8.9,9.8
0500000US06113,"Yolo County, California",212826,43219,17.5,19.8,9.1,15.6,19.4
0500000US06115,"Yuba County, California",83288,22559,14.7,20.2,16.8,14.9,14.5
