...1,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
4,5vjLSffimiIP26QG5WcN2K,Chord Overstreet,Hold On,Hold On,82,198853,FALSE,0.618,0.443,2,-9.681,1,0.0526,0.469,0,0.0829,0.167,119.949,4,acoustic
7,1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,80,242946,FALSE,0.703,0.444,11,-9.331,1,0.0417,0.559,0,0.0973,0.712,150.96,4,acoustic
2000,5E30LdtzQTGqRvNd7l6kG5,The Neighbourhood,Wiped Out!,Daddy Issues,87,260173,FALSE,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,4,alt-rock
2001,2Y0iGXY6m6immVb2ktbseM,MGMT,Little Dark Age,Little Dark Age,83,299960,FALSE,0.705,0.712,6,-6.156,1,0.0385,0.0102,8.55e-4,0.1,0.62,97.512,4,alt-rock
2002,2K7xn816oNHJZ0aVqdQsha,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Softcore,86,206280,FALSE,0.575,0.568,9,-5.509,0,0.03,0.0484,4.17e-4,0.286,0.37,93.986,4,alt-rock
2003,2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,I Love You.,Sweater Weather,93,240400,FALSE,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4,alt-rock
2004,7zwn1eykZtZ5LODrf7c0tS,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,You Get Me So High,83,153000,FALSE,0.551,0.881,7,-6.099,0,0.0542,0.186,0.0791,0.152,0.387,88.036,4,alt-rock
2005,7vguMCv8uVuZLiQJ156u3Z,Sam Tinnesz;Yacht Money,Play with Fire (feat. Yacht Money),Play with Fire (feat. Yacht Money),76,180690,FALSE,0.573,0.539,2,-6.091,0,0.0322,0.0162,1.16e-5,0.105,0.39,75.012,4,alt-rock
2006,4gHnSNHs8RyVukKoWdS99f,Nirvana,Nevermind (Remastered),Something In The Way,76,232146,FALSE,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,4,alt-rock
2007,0y1QJc3SJVPKJ1OvFmFqe6,KALEO,A/B,Way down We Go,78,213706,FALSE,0.489,0.505,10,-8.022,0,0.117,0.579,3.33e-4,0.104,0.337,163.255,4,alt-rock
2009,4CeeEOM32jQcH3eN9Q2dGj,Nirvana,Nevermind (Remastered),Smells Like Teen Spirit,83,301920,FALSE,0.502,0.912,1,-4.556,1,0.0564,2.55e-5,1.73e-4,0.106,0.72,116.761,4,alt-rock
2011,4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,TALKING IS HARD,Shut Up and Dance,83,199080,FALSE,0.578,0.866,1,-3.804,1,0.0619,0.00701,0,0.257,0.619,128.038,4,alt-rock
2051,2xql0pid3EUwW38AsywxhV,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Reflections,80,244013,FALSE,0.648,0.594,11,-7.027,0,0.0293,0.114,0.0462,0.116,0.544,113.983,4,alt-rock
2055,10nyNJ6zNy2YVYLrcwLccB,Radiohead,OK Computer,No Surprises,82,229120,FALSE,0.255,0.393,5,-10.654,1,0.0278,0.0577,0.00361,0.113,0.118,76.426,4,alt-rock
2057,3dPQuX8Gs42Y7b454ybpMR,The White Stripes,Elephant,Seven Nation Army,84,232106,FALSE,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,4,alt-rock
2100,2u0CelO5c81XS7z3dGpHbS,The Neighbourhood,Wiped Out!,The Beach,78,255133,FALSE,0.245,0.64,2,-7.426,0,0.0608,0.131,8.11e-6,0.0766,0.105,135.739,4,alt-rock
2104,0uBdQzKghx88d2Lp8SLFKJ,The 1975,I'm In Love With You,I'm In Love With You,78,262623,TRUE,0.668,0.902,2,-3.924,1,0.0386,0.169,8.74e-5,0.198,0.913,119.008,4,alt-rock
2108,2RsAajgo0g7bMCHxwH3Sk0,Nirvana,Nevermind (Remastered),Come As You Are,79,218920,FALSE,0.5,0.824,4,-5.846,0,0.0388,1.6e-4,0.00161,0.0916,0.539,120.125,4,alt-rock
2109,2aibwv5hGXSgw7Yru8IYTO,Red Hot Chili Peppers,Stadium Arcadium,Snow (Hey Oh),80,334666,FALSE,0.427,0.9,11,-3.674,1,0.0499,0.116,1.75e-5,0.119,0.599,104.655,4,alt-rock
2110,2UREu1Y8CO4jXkbvqAtP7g,Skillet,Awake,Monster,77,178013,FALSE,0.64,0.957,8,-2.336,1,0.0741,0.0431,0,0.0789,0.692,134.992,4,alt-rock
2150,7brQHA2CgQpcMBiOlfiXYb,The Neighbourhood,I Love You.,Afraid,77,251186,TRUE,0.464,0.701,6,-5.693,0,0.0411,0.00892,0.309,0.335,0.356,83.996,4,alt-rock
2153,14dJexYlvd3t3XAtD1pYW1,The 1975,Being Funny In A Foreign Language,Oh Caroline,76,212568,FALSE,0.646,0.85,2,-5.466,1,0.0428,0.363,4.01e-5,0.0994,0.819,96.538,4,alt-rock
2156,0fYVliAYKHuPmECRs1pbRf,X Ambassadors,VHS,Renegades,76,195200,FALSE,0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052,4,alt-rock
2200,0GO8y8jQk1PkHzS31d699N,Grouplove,Never Trust a Happy Song,Tongue Tied,79,218013,FALSE,0.56,0.936,3,-5.835,1,0.0439,0.00847,0,0.161,0.371,112.96,4,alt-rock
2204,2iUmqdfGZcHIhS3b9E9EWq,Neon Trees,Picture Show,Everybody Talks,80,177280,FALSE,0.471,0.924,8,-3.906,1,0.0586,0.00301,0,0.313,0.725,154.961,4,alt-rock
2206,5ruzrDWcT0vuJIOMW7gMnW,The Strokes,The New Abnormal,The Adults Are Talking,79,309053,FALSE,0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,4,alt-rock
2256,15VRO9CQwMpbqUYA7e6Hwg,Nirvana,MTV Unplugged In New York,The Man Who Sold The World,76,261093,FALSE,0.483,0.753,1,-8.937,0,0.0832,0.425,1.42e-4,0.257,0.42,115.102,4,alt-rock
2259,11LmqTE2naFULdEP94AUBa,Nirvana,In Utero - 20th Anniversary - Deluxe Edition,Heart-Shaped Box,79,281160,FALSE,0.256,0.641,1,-10.283,1,0.0552,0.199,0.0329,0.0853,0.382,203.006,4,alt-rock
2260,3ZOEytgrvLwQaqXreDs2Jx,Red Hot Chili Peppers,By the Way (Deluxe Edition),Can't Stop,82,269000,FALSE,0.618,0.938,9,-3.442,1,0.0456,0.0179,0,0.167,0.875,91.455,4,alt-rock
2304,0KzAbK6nItSqNh8q70tb0K,Pixies,Death to the Pixies,Where Is My Mind?,77,229226,FALSE,0.513,0.442,4,-13.529,1,0.0343,0.00731,8.38e-4,0.0878,0.243,81.201,4,alt-rock
2305,1LzNfuep1bnAUR9skqdHCK,Mazzy Star,So Tonight That I Might See,Fade Into You,79,295600,FALSE,0.42,0.33,9,-13.925,1,0.0275,0.245,6.79e-4,0.0677,0.175,157.143,3,alt-rock
2306,46gSk82duJtX3TTA182ruG,Franz Ferdinand,This fffire,This fffire - New Version,76,218080,FALSE,0.442,0.887,4,-5.943,0,0.1,0.0259,4.57e-6,0.0655,0.637,146.358,4,alt-rock
2309,3d9DChrdc6BOeFsbrZ3Is0,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),Under the Bridge,82,264306,FALSE,0.559,0.345,4,-13.496,1,0.0459,0.0576,1.05e-4,0.141,0.458,84.581,4,alt-rock
2311,7wCmS9TTVUcIhRalDYFgPy,Pixies,Surfer Rosa,Where Is My Mind? - Remastered,79,234973,FALSE,0.519,0.441,4,-14.178,1,0.0353,0.0204,4.53e-4,0.076,0.25,81.334,4,alt-rock
2312,57iDDD9N9tTWe75x6qhStw,The Verve,Urban Hymns (Remastered 2016),Bitter Sweet Symphony,80,357266,FALSE,0.356,0.917,9,-6.006,1,0.0479,0.0335,0,0.406,0.518,171.176,4,alt-rock
2360,5W8YXBz9MTIDyrpYaCg2Ky,Papa Roach,Infest,Last Resort,80,199906,TRUE,0.589,0.89,4,-3.719,0,0.0603,4.81e-4,8.2e-4,0.201,0.692,90.598,4,alt-rock
2366,59WN2psjkt1tyaxjspN8fp,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),Killing In The Name,80,313573,TRUE,0.466,0.833,7,-4.215,1,0.304,0.0266,0,0.0327,0.661,88.785,4,alt-rock
2367,5UWwZ5lm5PKu6eKsHAGxOk,Foo Fighters,The Colour And The Shape,Everlong,84,250546,FALSE,0.413,0.881,11,-5.541,0,0.0367,5.99e-5,3.08e-4,0.0805,0.364,158.066,4,alt-rock
2401,4sNG6zQBmtq7M8aeeKJRMQ,Declan McKenna,What Do You Think About the Car?,Brazil,80,252306,FALSE,0.687,0.617,4,-5.213,1,0.0287,0.0941,1.27e-5,0.0898,0.665,121.079,4,alt-rock
2402,64BbK9SFKH2jk86U3dGj2P,Red Hot Chili Peppers,Californication (Deluxe Edition),Otherside,80,255373,FALSE,0.458,0.795,0,-3.265,1,0.0574,0.00316,2.02e-4,0.0756,0.513,123.229,4,alt-rock
2404,1G391cbiT3v3Cywg8T7DM1,Red Hot Chili Peppers,Californication (Deluxe Edition),Scar Tissue,79,215906,FALSE,0.595,0.717,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,4,alt-rock
2405,0gmbgwZ8iqyMPmXefof8Yf,Nickelback,Silver Side Up,How You Remind Me,80,223840,FALSE,0.446,0.764,10,-5.042,1,0.033,0.00135,0,0.099,0.543,172.094,4,alt-rock
2406,63OQupATfueTdZMWTxW03A,Radiohead,OK Computer,Karma Police,76,264066,FALSE,0.36,0.501,7,-9.129,1,0.0258,0.0638,9.32e-5,0.172,0.324,74.807,4,alt-rock
2450,5r5cp9IpziiIsR6b93vcnQ,Empire of the Sun,Walking On A Dream (10th Anniversary Edition),Walking On A Dream,79,198440,FALSE,0.871,0.701,5,-5.594,0,0.0458,0.257,7.52e-6,0.0589,0.716,126.975,4,alt-rock
2457,1jJci4qxiYcOHhQR247rEU,MGMT,Oracular Spectacular,Kids,78,302840,FALSE,0.451,0.931,9,-3.871,1,0.0719,7.6e-4,0.0049,0.361,0.172,122.961,4,alt-rock
2471,7x8dCjCr0x6x2lXKujYD34,Foo Fighters,"Echoes, Silence, Patience & Grace",The Pretender,79,269373,FALSE,0.433,0.959,9,-4.04,1,0.0431,9.17e-4,0,0.028,0.365,172.984,4,alt-rock
2562,6TfBA04WJ3X1d1wXhaCFVT,The Offspring,"Rise And Fall, Rage And Grace","You're Gonna Go Far, Kid",81,177826,TRUE,0.55,0.917,0,-3.159,1,0.0638,0.00428,0,0.197,0.601,126.115,4,alt-rock
2601,3FtYbEfBqAlGO46NUDQSAt,MGMT,Oracular Spectacular,Electric Feel,77,229640,FALSE,0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,3,alt-rock
2615,10Nmj3JCNoMeBQ87uw5j8k,Red Hot Chili Peppers,Stadium Arcadium,Dani California,78,282160,FALSE,0.556,0.913,0,-2.36,1,0.0437,0.0193,8.59e-6,0.346,0.73,96.184,4,alt-rock
2656,20I8RduZC2PWMWTDCZuuAN,Franz Ferdinand,Franz Ferdinand,Take Me Out,79,237026,FALSE,0.277,0.663,4,-8.821,0,0.0377,4.09e-4,5.1e-4,0.136,0.527,104.561,4,alt-rock
2770,4EchqUKQ3qAQuRNKmeIpnf,The Offspring,Americana,The Kids Aren't Alright,81,180160,FALSE,0.523,0.943,1,-4.203,1,0.0337,0.00704,3.81e-5,0.0579,0.766,99.607,4,alt-rock
2815,5OQsiBsky2k2kDKy2bX2eT,Foo Fighters,There Is Nothing Left To Lose,Learn to Fly,77,235293,FALSE,0.465,0.919,4,-4.025,1,0.0408,1.83e-5,2.07e-5,0.262,0.537,135.997,4,alt-rock
