Year,Month,Day,DOW,Hour,Trip Seconds,Trip Miles,Fare,Tips,Extras,Trip Total,Payment Type,Company
2024,2,18,1,17,2435,18.53,46,0,5,51.5,Credit Card,Taxicab Insurance Agency Llc
2024,2,26,2,9,240,0.5,4.75,2,0,6.75,Credit Card,Taxi Affiliation Services
2024,2,21,4,13,939,9.35,25.25,5,4,34.75,Credit Card,City Service
2024,2,4,1,16,1930,17.04,42.5,14.1,4,61.1,Credit Card,Sun Taxi
2024,2,5,2,14,3525,19.66,49.97,10.47,0,60.44,Mobile,City Service
2024,2,2,6,19,1738,18.91,46.75,12.81,4,64.06,Credit Card,City Service
2024,2,8,5,21,603,2.47,9.5,2,0,12,Credit Card,Sun Taxi
2024,2,13,3,8,210,0.59,5,0,0,5,Cash,Flash Cab
2024,2,8,5,18,361,0.59,10,2.05,0,12.05,Mobile,City Service
2024,2,25,1,9,148,0.44,4.5,4,1.5,10.5,Credit Card,Taxicab Insurance Agency Llc
2024,2,21,4,14,1914,16.38,40.75,6.79,4,52.04,Credit Card,Flash Cab
2024,2,15,5,15,540,1.3,7.5,0,0,7.5,Cash,Taxi Affiliation Services
2024,2,25,1,13,2302,17.77,45.25,9.45,1.5,56.7,Credit Card,City Service
2024,2,21,4,18,3840,16.5,43.75,12.05,4,59.8,Credit Card,Taxi Affiliation Services
2024,2,15,5,14,540,1.1,7.25,0,0,7.25,Cash,Taxi Affiliation Services
2024,2,2,6,17,213,0.57,4.75,0,0,4.75,Cash,Taxicab Insurance Agency Llc
2024,2,21,4,15,427,0.81,6,0,1,7,Cash,Sun Taxi
2024,2,15,5,17,176,0.38,4.25,0,0,4.25,Cash,Taxicab Insurance Agency Llc
2024,2,8,5,20,360,0.8,6,0,0,6,Cash,Taxi Affiliation Services
2024,2,29,5,18,240,0.5,4.75,0,0,4.75,Cash,Taxi Affiliation Services
2024,2,16,6,15,800,2.04,10,2.6,2.5,15.6,Credit Card,Taxicab Insurance Agency Llc
2024,2,20,3,15,657,5.27,15.75,0,1,16.75,Prcard,Flash Cab
2024,2,15,5,9,2700,16.5,42,9.4,4.5,55.9,Credit Card,Taxi Affiliation Services
2024,2,8,5,13,308,0.95,5.75,0,0,5.75,Cash,Sun Taxi
2024,2,21,4,22,530,1.44,7.75,3,0,11.25,Credit Card,City Service
2024,2,21,4,6,358,1.36,9,2.22,0,11.22,Mobile,Sun Taxi
2024,2,13,3,11,1500,1.2,47,8,0,55,Credit Card,Taxi Affiliation Services
2024,2,23,6,23,356,1.17,10,2.72,0,12.72,Mobile,Flash Cab
2024,2,13,3,11,608,1.42,8.25,0,0,8.25,Cash,City Service
2024,2,28,4,7,478,1.06,6.75,2,0,9.25,Credit Card,Taxicab Insurance Agency Llc
2024,2,21,4,13,307,0.75,5.5,0,0,5.5,Cash,Flash Cab
2024,2,9,6,11,260,0.38,4.75,4,0,9.25,Credit Card,City Service
2024,2,26,2,17,571,1.64,8.25,0,0,8.25,Cash,Taxicab Insurance Agency Llc
2024,2,23,6,18,755,2.27,11.68,0,0,11.68,Mobile,Sun Taxi
2024,2,28,4,7,531,1.03,7,4,0,14,Credit Card,Sun Taxi
2024,2,29,5,13,2933,17.23,44.5,9.8,4,58.8,Credit Card,Sun Taxi
2024,2,28,4,13,800,2.71,11.25,0,0,11.25,Cash,City Service
2024,2,7,4,14,449,1.28,7,0,0,7,Cash,Sun Taxi
2024,2,3,7,20,1500,16.8,42.5,0,4,46.5,Cash,Taxi Affiliation Services
2024,2,13,3,7,561,2.57,9.75,0,1,10.75,Cash,Flash Cab
2024,2,3,7,18,594,1.18,10,3.4,0,13.4,Mobile,City Service
2024,2,2,6,15,240,0.4,4.75,0,0,4.75,Cash,Taxi Affiliation Services
2024,2,19,2,7,144,0.67,4.75,0,0,4.75,Cash,Sun Taxi
2024,2,22,5,7,514,1.18,7.25,2,0,9.75,Credit Card,Sun Taxi
2024,2,10,7,17,900,0.1,10,0,1,11,Cash,Taxi Affiliation Services
2024,2,21,4,18,332,1.05,6,0,0,6,Cash,Taxicab Insurance Agency Llc
